id,artist_all,artist_base,rank,song,year,artist_featured,song_clean,artist_clean,lyrics,acousticness,danceability,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,duration_min,num_words,words_per_sec,num_uniq_words,uniq_ratio
613,hunter hayes,hunter hayes,72,i want crazy,2013,,i want crazy,hunter hayes,im booking myself a one way flight i gotta see the color in your eyes and telling myself im gonna be alright without you baby is a waste of time yeah our first date girl the seasons changed they got washed away in a summer rain you cant undo a fall like this cause love dont know what distance is yeah i know its crazy but i dont want good and i dont want good enough i want cant sleep cant breathe without your love front porch and one more kiss it doesnt make sense to anybody else who cares if youre all i think about ive searched the world and i know now it aint right if you aint lost your mind yeah i dont want easy i want crazy are you with me baby lets be crazy yeah yeah i wanna be scared dont wanna know why wanna feel good dont have to be right the world makes all kinds of rules for love i say you gotta let it do what it does i dont want just another hug and a kiss goodnight catching up calls and a date sometimes i love that were rebels and we still believe were the kind of crazy people wish that they could be yeah uh i know were crazy yeah but i dont want good and i dont want good enough i want cant sleep cant breathe without your love front porch and one more kiss it doesnt make sense to anybody else who cares if youre all i think about ive searched the world and i know now it aint right if you aint lost your mind yeah i dont want easy i want crazy are you with me baby lets be crazy na na na na na na na na na na na na na na na na no i dont want good and i dont want good enough i want cant sleep cant breathe without your love front porch and one more kiss it doesnt make sense to anybody else who cares if youre all i think about ive searched the world and i know now it aint right if you aint lost your mind yeah i dont want easy i want crazy yeah look at us baby tonight the midnight rules are breaking theres no such thing as wild enough maybe we just think too much who needs to play it safe in love lets be crazy who cares if were crazy we gotta be crazy i know that were crazy so lets be crazy yeah yeah,0.0539,0.562,0.878,0,0,8,0.112,-4.806,1,66,0.0387,103.029,4,0.558,3.94775,431,1.819601883,142,3.035211268
614,fall out boy,fall out boy,40,my songs know what you did in the dark (light em up),2013,,my songs know what you did in the dark light em up,fall out boy,be careful making wishes in the dark dark cant be sure when theyve hit their mark and besides in the mean meantime im just dreaming of tearing you apart im in the de details with the devil so now the world can never get me on my level i just got to get you out of the cage im a young lovers rage gonna need a spark to ignite my songs know what you did in the dark so light em up up up light em up up up light em up up up im on fire so light em up up up light em up up up light em up up up im on fire in the dark dark in the dark dark all the writers keep writing what they write somewhere another pretty vein just dies ive got the scars from tomorrow and i wish you could see that youre the antidote to everything except for me a constellation of tears on your lashes burn everything you love then burn the ashes in the end everything collides my childhood spat back out the monster that you see my songs know what you did in the dark so light em up up up light em up up up light em up up up im on fire so light em up up up light em up up up light em up up up im on fire in the dark dark in the dark dark my songs know what you did in the dark so light em up up up light em up up up light em up up up im on fire so light em up up up light em up up up light em up up up im on fire in the dark dark in the dark dark,0.0313,0.561,0.927,0,2.34E-05,9,0.529,-4.374,0,71,0.0619,152.011,4,0.553,3.113783333,299,1.600411075,98,3.051020408
615,jason derulo,jason derulo,66,the other side,2013,,the other side,jason derulo,in the beginning i never thought it would be you when we were chillin smilin in the photo booth but we got closer til you were eating off my spoon youre coming over and we would talk all afternoon tonight well just get drunk disturb the peace bind your hands all over me and then you bite your lip whisper and say we re going all the way tonight take me to the other side sparks fly like the 4th of july just take me to the other side i see that sexy look in your eyes and i know we aint friends anymore if we walk down this road well be lovers for sure so tonight kiss me like its do or die and take me to the other side but we wont know unless we try i know youre nervous so just sit back and let me drive tonight well just get drunk disturb the peace bind your hands all over me and then you bite your lip whisper and say we re going all the way tonight take me to the other side sparks fly like the 4th of july just take me to the other side i see that sexy look in your eyes and i know we aint friends anymore if we walk down this road well be lovers for sure so tonight kiss me like its do or die and take me to the other side oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh kiss me like its do or die oh oh oh oh oh oh oh and take me to the other side tonight well just get drunk disturb the peace bind your hands all over me and then you bite your lip whisper and say we re going all the way tonight take me to the other side sparks fly like the 4th of july just take me to the other side i see that sexy look in your eyes and i know we aint friends anymore if we walk down this road well be lovers for sure so tonight kiss me like its do or die and take me to the other side oh oh oh oh oh oh oh take me to the other side oh oh oh oh oh oh oh and take me to the other side oh oh oh oh oh oh oh kiss me like its do or die oh oh oh oh oh oh oh and take me to the other side,0.0525,0.561,0.836,0,0,9,0.136,-3.939,1,59,0.1,127.923,4,0.517,3.783116667,431,1.898787155,93,4.634408602
616,sara bareilles,sara bareilles,96,brave,2013,,brave,sara bareilles,you can be amazing you can turn a phrase into a weapon or a drug you can be the outcast or be the backlash of somebody s lack of love or you can start speaking up nothing s gonna hurt you the way that words do when they settle neath your skin kept on the inside and no sunlight sometimes a shadow wins but i wonder what would happen if you say what you wanna say and let the words fall out honestly i wanna see you be brave with what you want to say and let the words fall out honestly i wanna see you be brave i just wanna see you i just wanna see you i just wanna see you i wanna see you be brave i just wanna see you i just wanna see you i just wanna see you i wanna see you be brave everybody s been there everybody s been stared down by the enemy fallen for the fear and done some disappearing bow down to the mighty don t run stop holding your tongue maybe there s a way out of the cage where you live maybe one of these days you can let the light in show me how big your brave is say what you wanna say and let the words fall out honestly i wanna see you be brave with what you want to say and let the words fall out honestly i wanna see you be brave and since your history of silence wont do you any good did you think it would let your words be anything but empty why dont you tell them the truth say what you wanna say and let the words fall out honestly i wanna see you be brave with what you want to say and let the words fall out honestly i wanna see you be brave i just wanna see you i just wanna see you i just wanna see you i wanna see you be brave i just wanna see you i just wanna see you i just wanna see you i wanna see you be brave i just wanna see you i just wanna see you i just wanna see you i just wanna see you i just wanna see you i just wanna see you,0.00502,0.551,0.836,0,2.10E-05,10,0.0425,-3.838,0,68,0.0524,185.063,4,0.758,3.676216667,388,1.759054825,114,3.403508772
617,thomas rhett,thomas rhett,90,it goes like this,2013,,it goes like this,thomas rhett,hey girl you make me wanna write a song sit you down ill sing it to you all night long ive had a melody in my head since she walked in here and knocked me dead yeah girl you make me wanna write a song and it goes like ooh what i wouldnt do to write my name on your heart get you wrapped in my arms baby all around you and it goes like hey girl im blown away yeah it starts with a smile and it ends with an all night long slow kiss yeah it goes like this hey girl you make me wanna drive you home get you outta here and get you all alone i dont know what it is about you baby but im all messed up and it might sound crazy but you make me wanna write a song and it goes like ooh what i wouldnt do to write my name on your heart get you wrapped in my arms baby all around you and it goes like hey girl im blown away yeah it starts with a smile and it ends with an all night long slow kiss yeah it goes like this lookin at you lookin at me that way makes me wanna grab my old guitar and play something like ooh what i wouldnt do to write my name on my heart get you wrapped in my arms baby all around you and it goes like hey girl im blown away yeah it starts with a smile and it ends with an all night long slow kiss yeah it goes like this and it goes like ooh and it goes like hey and it ends with a kiss yeah it goes like this,0.126,0.533,0.84,0,0,11,0.0869,-6.377,1,66,0.0634,168.048,4,0.529,3.101333333,294,1.579965606,83,3.542168675
618,lady antebellum,lady antebellum,93,downtown,2013,,downtown,lady antebellum,well all the parties on the streets are talking store front mannequins sleeping in lights we used to smoke while we were jaywalking like it was your birthday every other saturday night knew the bands so we never payed our cover wrote our names on the bathroom tiles we never dressed to impress all the others they would let us in on our laid back kind of style but boy you know its been a while i dont know why you dont take me downtown like you got anywhere better to be talk it up and give me the go round round like a good time tease im only counting on your cancellation when i should be counting on you at my door did you forget about how we went around i dont know why you dont take me downtown anymore oh anymore i got some platforms sitting in the corner they wanna stroll on a city sidewalk i got a dress thatll show a little uh uh but you aint getting uh uh if you dont come pick me up damn show me off wow you might be tired but im not i dont know why you dont take me downtown like you got anywhere better to be talk it up and give me the go round round like a good time tease im only counting on your cancellation when i should be counting on you at my door did you forget about how we went around i dont know why you dont take me downtown anymore oh anymore yeah i dont know why you dont take me downtown i dont know why you dont take me downtown anymore i just dont get it,0.18,0.532,0.825,0,0,9,0.296,-5.287,1,55,0.0468,169.961,4,0.96,3.26445,285,1.455069001,123,2.317073171
619,miley cyrus,miley cyrus,18,wrecking ball,2013,,wrecking ball,miley cyrus,we clawed we chained our hearts in vain we jumped never asking why we kissed i fell under your spell a love no one could deny don t you ever say i just walked away i will always want you i can t live a lie running for my life i will always want you i came in like a wrecking ball i never hit so hard in love all i wanted was to break your walls all you ever did was wreck me yeah you you wreck me i put you high up in the sky and now you re not coming down it slowly turned you let me burn and now we re ashes on the ground don t you ever say i just walked away i will always want you i can t live a lie running for my life i will always want you i came in like a wrecking ball i never hit so hard in love all i wanted was to break your walls all you ever did was wreck me yeah you you wreck me i came in like a wrecking ball yeah i just closed my eyes and swung left me crashing in a blazing fall all you ever did was wreck me yeah you wreck me i never meant to start a war i just wanted you to let me in and instead of using force i guess i should ve let you win i never meant to start a war i just wanted you to let me in i guess i should ve let you win don t you ever say i just walked away i will always want you i came in like a wrecking ball i never hit so hard in love all i wanted was to break your walls all you ever did was wreck me yeah you you wreck me i came in like a wrecking ball yeah i just closed my eyes and swung left me crashing in a blazing fall all you ever did was wreck me yeah you wreck me,0.407,0.53,0.422,0,0,5,0.107,-6.262,1,73,0.0342,119.964,4,0.349,3.689333333,347,1.567582219,95,3.652631579
620,darius rucker,darius rucker,54,wagon wheel,2013,,wagon wheel,darius rucker,heading down south to the land of the pines im thumbing my way into north caroline staring up the road and pray to god i see headlights i made it down the coast in seventeen hours picking me a bouquet of dogwood flowers and im a hoping for raleigh i can see my baby tonight so rock me mama like a wagon wheel rock me mama any way you feel hey mama rock me rock me mama like the wind and the rain rock me mama like a south bound train hey mama rock me running from the cold up in new england i was born to be a fiddler in an old time string band my baby plays a guitar i pick a banjo now oh north country winters keep a getting me down lost my money playing poker so i had to leave town but i aint turning back to living that old life no more so rock me mama like a wagon wheel rock me mama any way you feel hey mama rock me rock me mama like the wind and the rain rock me mama like a south bound train hey mama rock me walking to the south out of roanoke i caught a trucker out of philly had a nice long toke but hes a heading west from the cumberland gap to johnson city tennessee and i got to get a move on before the sun i hear my baby calling my name and i know that shes the only one and if i die in raleigh at least i will die free so rock me mama like a wagon wheel rock me mama any way you feel hey mama rock me oh rock me mama like the wind and the rain rock me mama like a south bound train hey hey mama rock me so rock me mama like a wagon wheel rock me mama any way you feel hey hey mama rock me mama rock me mama rock me rock me mama like the wind and the rain rock me mama like a south bound train hey hey mama rock me you can rock me rock me,0.456,0.529,0.663,0,0,9,0.142,-7.138,1,75,0.0306,148.102,4,0.592,4.973333333,364,1.219839142,131,2.778625954
621,luke bryan,luke bryan,69,crash my party,2013,,crash my party,luke bryan,it don t matter what plans i got i can break em yeah i can turn this thing around at the next red light and i don t mind telling all the guys i can t meet em hell we can all go raise some hell any other night girl i don t care oh i just gotta see what you re wearing your hair is it pulled up or falling down oh i just have to see it now if you wanna call me call me call me you don t have to worry bout it baby you can wake me up in the dead of the night wreck my plans baby that s alright this is a drop everything kind of thing swing on by i will pour you a drink the door s unlocked i ll leave on the lights baby you can crash my party anytime ain t a spot downtown that s rockin the way that you rock me ain t a bar that can make me buzz the way that you do i could be on the front row of the best show and look down and see your face on my phone and i m gone so long hang on i ll meet you in a minute or two if you wanna call me call me call me you don t have to worry bout it baby you can wake me up in the dead of the night wreck my plans baby that s alright this is a drop everything kind of thing swing on by i will pour you a drink the door s unlocked i ll leave on the lights baby you can crash my party anytime if it s 2 in the morning and you re feeling lonely and wondering what i m doing if you wanna call me call me call me you don t have to worry bout it baby you can wake me up in the dead of the night wreck my plans baby that s alright this is a drop everything kind of thing swing on by i will pour you a drink the door s unlocked i ll leave on the lights baby you can crash my party anytime baby you can crash my party anytime,0.0309,0.526,0.823,0,0,7,0.246,-4.03,1,60,0.0431,144.09,4,0.435,3.912666667,381,1.62293406,121,3.148760331
622,randy houser,randy houser,98,runnin' outta moonlight,2013,,runnin outta moonlight,randy houser,dont you worry bout gettin fixed up when you wake up youre pretty enough look out your window at the cloud of dust thats my headlights thats my truck come on baby dont you keep me waitin i gotta go ive got a reservation tailgate for two underneath the stars kiss on your lips when youre in my arms whoa girl every now and then you get a night like this whoa this is one that we dont wanna miss no come on baby let me take you on a night ride windows down sittin on my side tick tock now were knocking on midnight me and you girl runnin outta moonlight i wanna hold you till the break of dawn hear the crickets sing a riverside love song hey baby all we got is all night come on now were runnin outta moonlight girl i bet you thought i lost my mind outta the blue pulling into your drive wonder why i got you way out here have you ever seen a sky this clear whoa girl you never look better than you do right now whoa oh heaven let your light shine down come on baby let me take you on a night ride windows down sittin on my side tick tock now were knocking on midnight me and you girl runnin outta moonlight i wanna hold you till the break of dawn hear the crickets sing a riverside love song hey baby all we got is all night come on now were runnin outta moonlight whoa girl every now and then you get a night like this whoa this is one that we dont wanna miss no come on baby let me take you on a night ride windows down sittin on my side tick tock now were knocking on midnight me and you girl runnin outta moonlight i wanna hold you till the break of dawn hear the crickets sing a riverside love song hey baby all we got is all night come on now were runnin outta moonlight hey baby dont it feel so right come on now were runnin outta moonlight all i wanna do is hold you tight come on come on come on were runnin outta moonlight whoa yeah were runnin outta moonlight whoa,0.0354,0.526,0.801,0,3.17E-06,2,0.0637,-3.717,1,72,0.0393,172.024,4,0.769,3.22955,382,1.971378881,122,3.131147541
623,avicii,avicii,19,wake me up,2013,,wake me up,avicii,feeling my way through the darkness guided by a beating heart i cant tell where the journey will end but i know where to start they tell me im too young to understand they say im caught up in a dream well life will pass me by if i dont open up my eyes well thats fine by me so wake me up when its all over when im wiser and im older all this time i was finding myself and i didnt know i was lost so wake me up when its all over when im wiser and im older all this time i was finding myself and i didnt know i was lost i tried carrying the weight of the world but i only have two hands i hope i get the chance to travel the world but i dont have any plans i wish that i could stay forever this young not afraid to close my eyes lifes a game made for everyone and love is the prize so wake me up when its all over when im wiser and im older all this time i was finding myself and i didnt know i was lost so wake me up when its all over when im wiser and im older all this time i was finding myself and i didnt know i was lost i didnt know i was lost i didnt know i was lost i didnt know i was lost i didnt know i was lost,0.00346,0.518,0.784,0,0.00187,2,0.171,-5.659,1,81,0.0524,124.102,4,0.588,4.123783333,251,1.014440623,89,2.820224719
624,selena gomez,selena gomez,33,come & get it,2013,,come  get it,selena gomez,when youre ready come and get it na na na na na na na na na na na na when youre ready come and get it na na na na na na na na na na na na when youre re e e e e e eady when youre re e e e e e eady ready when youre ready come and get it na na na na na na na na na na na na you aint gotta worry its an open invitation ill be sittin right here real patient all day all night ill be waitin standby cant stop because i love it hate the way i love you all day all night maybe im addicted for life no lie im not too shy to show i love you i got no regrets i love you much too much to hide you this love aint finished yet this love aint finished yet so baby whenever youre ready when youre ready come and get it na na na na na na na na na na na na when youre ready come and get it na na na na na na na na na na na na when youre re e e e e e eady when youre re e e e e e eady ready when youre ready come and get it na na na na na na na na na na na na you got the kind of love that i want let me get that and baby once i get it im yours no take backs gon love you for life i aint leaving your side even if you knock it aint no way to stop it forever youre mine baby im addicted no lie no lie im not too shy to show i love you i got no regrets so baby whenever youre ready when youre ready come and get it na na na na na na na na na na na na when youre ready come and get it na na na na na na na na na na na na when youre re e e e e e eady when youre re e e e e e eady ready when youre ready come and get it na na na na na na na na na na na na this love will be the death of me but i know ill die happily ill know ill know ill know because you love me so yeah when youre ready come and get it na na na na na na na na na na na na when youre ready come and get it na na na na na na na na na na na na when youre re e e e e e eady when youre re e e e e e eady ready when youre ready come and get it na na na na na na na na na na na na,0.00965,0.517,0.801,0,0.000164,7,0.083,-4.116,0,60,0.0545,80.154,4,0.578,3.86645,486,2.094944975,87,5.586206897
625,zedd  featuring  foxes,zedd,24,clarity,2013,foxes,clarity,zedd,high dive into frozen waves where the past comes back to life fight fear for the selfish pain it was worth it every time hold still right before we crash cause we both know how this ends our clock ticks til it breaks your glass and i drown in you again cause you are the piece of me i wish i didnt need chasing relentlessly still fight and i dont know why if our love is tragedy why are you my remedy if our loves insanity why are you my clarity if our love is tragedy why are you my remedy if our loves insanity why are you my clarity walk on through a red parade and refuse to make amends it cuts deep through our ground and makes us forget all common sense dont speak as i try to leave cause we both know what well choose if you pull then ill push too deep and ill fall right back to you cause you are the piece of me i wish i didnt need chasing relentlessly still fight and i dont know why if our love is tragedy why are you my remedy if our loves insanity why are you my clarity why are you my clarity why are you my remedy why are you my clarity why are you my remedy if our love is tragedy why are you my remedy if our loves insanity why are you my clarity,0.0371,0.514,0.776,0,0,8,0.0735,-3.393,1,68,0.0783,127.975,4,0.21,4.523783333,242,0.891584109,98,2.469387755
626,florida georgia line,florida georgia line,94,get your shine on,2013,,get your shine on,florida georgia line,strawberry shimmer on hot lips silver buckle hanging off her hips i sparkle when she smiles shinedown on the radio dial homemade jar of lemon drop take a sip dont stop girl you know i love it when you get your shine on because you and me be rocking all night long summer sky dripping rhinestones turn your party lights on baby get your shine on baby get your shine on silverado candy painted ray bans got the whole world shaded chrome piece tucked in the console riding high roll up on the down low feeling lucky got hooked up with some kentucky clear so slide that little sugar shaker over here and get your shine on because you and me be rocking all night long summer sky dripping rhinestones turn your party lights on baby get your shine on baby get your shine on homemade jar of lemon drop take a sip dont stop girl you know i love it when you get your shine on because you and me be rocking all night long summer sky dripping rhinestones turn your party lights on baby get your shine on baby get your shine on because you and me be rocking all night long summer sky dripping rhinestones turn your party lights on baby get your shine on baby get your shine on baby get your shine on strawberry shimmer on hot lips silver buckle hanging off her hips i sparkle when she smiles shinedown on the radio dial silverado candy painted ray bans got the whole world shaded chromed piece tucked in the console riding high roll up on the down low baby get your shine on,0.00265,0.508,0.93,0,2.64E-06,0,0.406,-4.518,1,68,0.0372,96.993,4,0.607,3.700216667,278,1.252178926,90,3.088888889
627,demi lovato,demi lovato,50,heart attack,2013,,heart attack,demi lovato,putting my defenses up cause i don t wanna fall in love if i ever did that i think i d have a heart attack never put my love out on the line never said yes to the right guy never had trouble getting what i want but when it comes to you i m never good enough when i don t care i can play em like a ken doll won t wash my hair then make em bounce like a basketball but you make me wanna act like a girl paint my nails and wear high heels yeah you make me so nervous that i just can t hold your hand you make me glow but i cover up won t let it show so im putting my defenses up cause i don t wanna fall in love if i ever did that i think i d have a heart attack i think i d have a heart attack i think i d have a heart attack never break a sweat for the other guys when you come around i get paralyzed and every time i try to be myself it comes out wrong like a cry for help it s just not fair pain s more trouble than it all is worth i gasp for air it feels so good but you know it hurts but you make me wanna act like a girl paint my nails and wear perfume for you make me so nervous that i just can t hold your hand you make me glow but i cover up won t let it show so im putting my defenses up cause i don t wanna fall in love if i ever did that i think i d have a heart attack i think i d have a heart attack i think i d have a heart attack the feelings are lost in my lungs they re burning i d rather be numb and there s no one else to blame so instead i ll take off in a run i m flying too close to the sun and i ll burst into flames you make me glow but i cover up won t let it show so im putting my defenses up cause i don t wanna fall in love if i ever did that i think i d have a heart attack i think i d have a heart attack oh i think i d have a heart attack i think i d have a heart attack,0.0781,0.503,0.801,0,0,8,0.248,-4.735,1,66,0.0757,173.937,4,0.523,3.514,424,2.011003605,140,3.028571429
628,imagine dragons,imagine dragons,62,demons,2013,,demons,imagine dragons,when the days are cold and the cards all fold and the saints we see are all made of gold when your dreams all fail and the ones we hail are the worst of all and the bloods run stale i want to hide the truth i want to shelter you but with the beast inside theres nowhere we can hide no matter what we breed we still are made of greed this is my kingdom come this is my kingdom come when you feel my heat look into my eyes its where my demons hide its where my demons hide dont get too close its dark inside its where my demons hide its where my demons hide at the curtains call is the last of all when the lights fade out all the sinners crawl so they dug your grave and the masquerade will come calling out at the mess you made i dont want to let you down but i am hell bound though this is all for you i dont want to hide the truth no matter what we breed we still are made of greed this is my kingdom come this is my kingdom come when you feel my heat look into my eyes its where my demons hide its where my demons hide dont get too close its dark inside its where my demons hide its where my demons hide they say its what you make i say its up to fate its woven in my soul i need to let you go your eyes they shine so bright i want to save their light i cant escape this now unless you show me how when you feel my heat look into my eyes its where my demons hide its where my demons hide dont get too close its dark inside its where my demons hide its where my demons hide,0.23,0.499,0.73,0,0.00018,3,0.378,-2.831,1,74,0.0367,90.058,4,0.381,2.92,316,1.803652968,107,2.953271028
629,mumford & sons,mumford and sons,52,i will wait,2013,,i will wait,mumford and sons,and i came home like a stone and i fell heavy into your arms these days of dust which weve known will blow away with this new sun and ill kneel down wait for now and ill kneel down know my ground and i will wait i will wait for you and i will wait i will wait for you so break my step and relent you forgave and i wont forget know what weve seen and him with less now in some way shake the excess cause i will wait i will wait for you and i will wait i will wait for you and i will wait i will wait for you and i will wait i will wait for you so ill be bold as well as strong and use my head alongside my heart so take my flesh and fix my eyes that tethered mind free from the lies but ill kneel down wait for now ill kneel down know my ground raise my hands paint my spirit gold and bow my head keep my heart slow cause i will wait i will wait for you and i will wait i will wait for you and i will wait i will wait for you and i will wait i will wait for you,0.0165,0.488,0.752,0,0.00541,1,0.301,-5.131,1,69,0.0323,131.221,4,0.445,4.612,217,0.784186181,82,2.646341463
630,alicia keys,alicia keys,49,girl on fire,2013,,girl on fire,alicia keys,shes just a girl and shes on fire hotter than a fantasy lonely like a highway shes living in a world and its on fire feeling the catastrophe but she knows she can fly away oh she got both feet on the ground and shes burning it down oh she got her head in the clouds and shes not backing down this girl is on fire this girl is on fire shes walking on fire this girl is on fire looks like a girl but shes a flame so bright she can burn your eyes better look the other way you can try but youll never forget her name shes on top of the world hottest of the hottest girls say oh we got our feet on the ground and were burning it down oh got our head in the clouds and were not coming down this girl is on fire this girl is on fire shes walking on fire this girl is on fire everybody stands as she goes by cause they can see the flame thats in her eyes watch her when shes lighting up the night nobody knows that shes a lonely girl and its a lonely world but she gon let it burn baby burn baby this girl is on fire this girl is on fire shes walking on fire this girl is on fire oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh shes just a girl and shes on fire,0.135,0.482,0.706,0,0.00106,9,0.105,-5.762,1,73,0.0609,92.494,4,0.144,3.748666667,261,1.160412591,87,3
631,passenger,passenger,97,let her go,2013,,let her go,passenger,well you only need the light when its burning low only miss the sun when it starts to snow only know you love her when you let her go only know youve been high when youre feeling low only hate the road when youre missing home only know you love her when you let her go and you let her go staring at the bottom of your glass hoping one day youll make a dream last but dreams come slow and they go so fast you see her when you close your eyes maybe one day youll understand why everything you touch surely dies but you only need the light when its burning low only miss the sun when it starts to snow only know you love her when you let her go only know youve been high when youre feeling low only hate the road when youre missing home only know you love her when you let her go and you let her go staring at the ceiling in the dark same old empty feeling in your heart cause love comes slow and it goes so fast well you see her when you fall asleep but never to touch and never to keep cause you loved her too much and you dived too deep well you only need the light when its burning low only miss the sun when it starts to snow only know you love her when you let her go only know youve been high when youre feeling low only hate the road when youre missing home only know you love her when you let her go and you let her go oh oh woah oh oh and you let her go oh oh woah oh oh when you let her go whoa cause you only need the light when its burning low only miss the sun when it starts to snow only know you love her when you let her go only know youve been high when youre feeling low only hate the road when youre missing home only know you love her when you let her go and you let her go cause you only need the light when its burning low only miss the sun when it starts to snow only know you love her when you let her go only know youve been high when youre feeling low only hate the road when youre missing home only know you love her when you let her go and you let her go,0.365,0.479,0.545,0,0,7,0.0963,-7.346,1,73,0.0688,74.897,4,0.244,4.212216667,419,1.657876098,84,4.988095238
632,imagine dragons,imagine dragons,3,radioactive,2013,,radioactive,imagine dragons,im waking up to ash and dust i wipe my brow and i sweat my rust im breathing in the chemicals im breaking in shaping up checking out on the prison bus this is it the apocalypse whoa im waking up i feel it in my bones enough to make my systems blow welcome to the new age to the new age welcome to the new age to the new age whoa whoa im radioactive radioactive whoa whoa im radioactive radioactive i raise my flags dye my clothes its a revolution i suppose were painted red to fit right in whoa im breaking in shaping up checking out on the prison bus this is it the apocalypse whoa im waking up i feel it in my bones enough to make my systems blow welcome to the new age to the new age welcome to the new age to the new age whoa whoa im radioactive radioactive whoa whoa im radioactive radioactive all systems go sun hasnt died deep in my bones straight from inside im waking up i feel it in my bones enough to make my systems blow welcome to the new age to the new age welcome to the new age to the new age whoa whoa im radioactive radioactive whoa whoa im radioactive radioactive,0.126,0.478,0.799,0,0.000106,9,0.76,-3.614,1,75,0.0638,136.268,4,0.176,3.11355,217,1.161589397,61,3.557377049
633,tim mcgraw  featuring  taylor swift  and  keith urban,tim mcgraw,77,highway don't care,2013,taylor swift  and  keith urban,highway dont care,tim mcgraw,bet your windows rolled down and your hairs pulled back and i bet you got no idea youre going way too fast youre trying not to think about what went wrong trying not to stop til you get where you goin youre trying to stay awake so i bet you turn on the radio and the song goes i cant live without you i cant live without you baby i cant live without you i cant live without you baby baby the highway wont hold you tonight the highway dont know youre alive the highway dont care if youre all alone but i do i do the highway wont dry your tears the highway dont need you here the highway dont care if youre coming home but i do i do i bet you got a dead cell phone in your shotgun seat yeah i bet youre bending gods ear talking bout me youre trying not to let the first tear fall out trying not to think about turning around youre trying not to get lost in the sound but that song is always on so you sing along i cant live without you i cant live without you baby i cant live without you i cant live without you baby baby the highway wont hold you tonight the highway dont know youre alive the highway dont care if youre all alone but i do i do the highway wont dry your tears the highway dont need you here the highway dont care if youre coming home but i do i do i cant live without you i cant live without you baby i cant live without you i cant live without you baby baby the highway dont care the highway dont care the highway dont care but i do i do i cant live without you i cant live without you baby i cant live without i cant live without you baby oh baby the highway dont care the highway dont care the highway dont care but i do i do the highway dont care the highway dont care the highway dont care but i do i do the highway dont care the highway dont care the highway dont care but i do i do i cant live without you i cant live without you baby,0.0216,0.47,0.79,0,0,2,0.0863,-5.352,1,67,0.039,158.061,4,0.495,4.614666667,387,1.397717423,93,4.161290323
634,florida georgia line  featuring  nelly,florida georgia line,9,cruise,2013,nelly,cruise,florida georgia line,baby you a song you make me wanna roll my windows down and cruise hey baby yeah when i first saw that bikini top on her she s popping right out of the south georgia water thought oh good lord she had them long tanned legs could not help myself so i walked up and said baby you a song you make me wanna roll my windows down and cruise down a back road blowing stop signs through the middle every little farm town with you in this brand new chevy with a lift kit would look a hell of a lot better with you up in it so baby you a song you make me wanna roll my windows down and cruise she was sipping on southern and singing marshall tucker we were falling in love in the sweet heart of summer she hopped right up into the cab of my truck and said fire it up let us go get this thing stuck baby you a song you make me wanna roll my windows down and cruise down a back road blowing stop signs through the middle every little farm town with you in this brand new chevy with a lift kit would look a hell of a lot better with you up in it so baby you a song you make me wanna roll my windows down and cruise when that summer sun fell to its knees i looked at her and she looked at me and i turned on those kc lights and drove all night because it felt so right her and i man we felt so right i put it in park and grabbed my guitar and strummed a couple chords and sang from the heart girl you sure got the beat in my chest bumping hell i cannot get you out of my head baby you a song you make me wanna roll my windows down and cruise down a back road blowing stop signs through the middle every little farm town with you baby you a song you make me wanna roll my windows down and cruise down a back road blowing stop signs through the middle every little farm town with you in this brand new chevy with a lift kit would look a hell of a lot better with you up in it come on baby you a song you make me wanna roll my windows down and cruise come on girl get those windows down and cruise aw yea,0.0189,0.464,0.945,0,0,10,0.0575,-3.342,1,70,0.0354,148.012,4,0.877,3.482666667,420,2.009954058,137,3.065693431
635,of monsters and men,of monsters and men,65,little talks,2013,,little talks,of monsters and men,hey hey hey i dont like walking around this old and empty house so hold my hand ill walk with you my dear the stairs creak as i sleep its keeping me awake its the house telling you to close your eyes some days i cant even trust myself its killing me to see you this way cause though the truth may vary this ship will carry our bodies safe to shore hey hey hey theres an old voice in my head thats holding me back well tell her that i miss our little talks soon it will all be over and buried with our past we used to play outside when we were young and full of life and full of love some days i dont know if i am wrong or right your mind is playing tricks on you my dear cause though the truth may vary this ship will carry our bodies safe to shore hey dont listen to a word i say hey the screams all sound the same hey though the truth may vary this ship will carry our bodies safe to shore youre gone gone gone away i watched you disappear all thats left is a ghost of you now were torn torn torn apart theres nothing we can do just let me go well meet again soon now wait wait wait for me please hang around ill see you when i fall asleep hey dont listen to a word i say hey the screams all sound the same hey though the truth may vary this ship will carry our bodies safe to shore hey dont listen to a word i say hey the screams all sound the same hey though the truth may vary this ship will carry our bodies safe to shore,0.0215,0.46,0.786,0,0,1,0.133,-5.238,1,70,0.038,103.192,4,0.408,4.443333333,300,1.12528132,130,2.307692308
